[2025-10-27 10:50:17] [INFO    ] discord.client: logging in using static token
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1394256374510260245', 'username': 'Accelerate', 'avatar': '4f128832be8d3ebcf0c78c20f109b1c1', 'discriminator': '0168', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-27 10:50:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1394256374510260245', 'name': 'Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1394256374510260245', 'username': 'Accelerate', 'avatar': '4f128832be8d3ebcf0c78c20f109b1c1', 'discriminator': '0168', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2cf102e4e8892f7e2a37692485de93adc436e9d2605a5f9d7bfa0b0620baa454', 'flags': 27828224, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '236957941041856517', 'username': 'mathsymbol', 'avatar': '2c491f7a642cabd60f3dd1828d126f41', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 16579836, 'global_name': 'squared', 'avatar_decoration_data': {'asset': 'a_b01fd6db7c98c8a560c0d2fbd78b02a8', 'sku_id': '1420110608145055766', 'expires_at': 1764892800}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#fcfcfc', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-27 10:50:17] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-27 10:50:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-jswq",{"micros":0.0}]']}}
[2025-10-27 10:50:17] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-27 10:50:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
